A,B,C,D,MINA,MINB,MINC,MIND,MAXA,MAXB,MAXC,MAXD,NORMA,NORMB,NORMC,NORMD
-244.5608859,594.114966,-2.150068302,-0.904443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.328067372,-0.821886234,0.268934873,0.113140814
-243.6564425,596.2650343,-2.050068302,-0.864443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.326854102,-0.824860593,0.256426672,0.108137038
-242.791999,598.3151026,-1.950068302,-0.824443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.32569449,-0.827696615,0.243918471,0.103133262
-241.9675556,600.2651709,-1.850068302,-0.784443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.324588536,-0.830394299,0.231410269,0.098129486
-241.1831121,602.1152392,-1.750068302,-0.744443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.323536241,-0.832953644,0.218902068,0.09312571
-240.4386687,603.8653075,-1.650068302,-0.704443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.322537604,-0.835374652,0.206393866,0.088121933
-239.7342252,605.5153758,-1.550068302,-0.664443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.321592625,-0.837657322,0.193885665,0.083118157
-239.0697818,607.0654441,-1.450068302,-0.624443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.320701304,-0.839801654,0.181377464,0.078114381
-238.4453383,608.5155124,-1.350068302,-0.584443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.319863641,-0.841807649,0.168869262,0.073110605
-237.8608949,609.8655807,-1.250068302,-0.544443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.319079637,-0.843675305,0.156361061,0.068106829
-237.3164515,611.115649,-1.150068302,-0.504443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.31834929,-0.845404623,0.143852859,0.063103052
-236.812008,612.2657173,-1.050068302,-0.464443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.317672602,-0.846995604,0.131344658,0.058099276
-236.3475646,613.3157856,-0.950068302,-0.424443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.317049572,-0.848448246,0.118836457,0.0530955
-235.9231211,614.2658539,-0.850068302,-0.384443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.316480201,-0.849762551,0.106328255,0.048091724
-235.5386777,615.1159222,-0.750068302,-0.344443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.315964487,-0.850938518,0.093820054,0.043087948
